Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
1,Max Aarons,eng ENG,DF,Bournemouth,25-116,2000,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-360,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,0,8,0
3,Tyler Adams,us USA,MF,Bournemouth,26-075,1999,24,17,"1,620",18,0,3,3,0,0,0,7,0,1.6,1.6,0.9,2.5,12,61,9
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-218,1997,20,13,"1,229",13.7,1,1,2,1,0,0,3,0,0.9,0.9,0.2,1.1,5,37,1
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-119,2002,25,9,888,9.9,2,1,3,2,0,0,0,0,2.2,2.2,1.8,4,35,14,114
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-317,1997,12,12,"1,050",11.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,3,21,1
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-214,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0,1
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-204,1996,30,30,"2,569",28.5,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-328,2001,33,33,"2,775",30.8,4,7,11,4,0,0,7,1,2.4,2.4,4.7,7.1,74,96,156
10,Kristoffer Ajer,no NOR,DF,Brentford,27-013,1998,20,17,"1,388",15.4,0,0,0,0,0,0,4,0,0.8,0.8,1.2,2.1,27,52,42
11,Manuel Akanji,ch SUI,DF,Manchester City,29-285,1995,22,20,"1,711",19,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6
12,Nathan Aké,nl NED,DF,Manchester City,30-071,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,12,50,2
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-151,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-151,2002,11,4,491,5.5,1,1,2,1,0,0,3,0,1.3,1.3,1.3,2.6,14,27,10
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-205,1998,30,27,"2,240",24.9,3,6,9,3,0,0,5,0,1.8,1.8,6.7,8.5,49,211,87
